preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,seed,T,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items,mle_price_grid_coverage,mle_mean_exposures_observed_cell,mle_median_exposures_observed_cell,mle_unobserved_item_price_cells
zipfian,mle,50,0.0,0.99,3,0.9,0.25,0,300,0.13229491201685212,0.3551984650437702,0.4677848662909222,0.05456605005361315,0.3939567208377335,0.15444444444444444,0.09999999999999998,0.19999999999999998,-0.05444444444444446,0.045555555555555544,196.21800000000002,0.6540600000000001,0.6733333333333333,0.02,1.4600544444444443,0.3353999999999999,1.67078,1.38814,1.0364999999999998,1.47605,0.08371949256448197,0.1005905383770542,13.9,19.025,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.0,0.99,5,0.9,0.1,0,300,0.3434712492319867,0.34071004802712124,0.2565998681608438,-0.008159221286569374,0.32219200190586184,0.17200000000000001,0.09999999999999998,0.19999999999999998,-0.07200000000000004,0.02799999999999997,146.87400000000002,0.48958000000000007,0.66,0.03333333333333333,1.5391693333333332,0.3353999999999999,1.71474,1.4069799999999995,0.8478000000000001,1.546775,0.08371949256448197,0.1005905383770542,25.8,31.05,10.0,0.2405,3.1185031185031185,2.0,1519.0
zipfian,mle,50,0.0,0.99,5,0.9,0.25,0,300,0.3171816843977002,0.381415790299796,0.3728180819337624,0.039967100269508726,0.4161020784534578,0.17333333333333334,0.09999999999999998,0.19999999999999998,-0.07333333333333336,0.026666666666666644,154.38800000000003,0.5146266666666668,0.7,0.016666666666666666,1.553074,0.3353999999999999,1.7712999999999999,1.4836200000000002,1.2625000000000002,1.5389000000000002,0.08371949256448197,0.1005905383770542,26.0,31.0,10.0,0.239,3.1380753138075312,2.0,1522.0
zipfian,mle,50,0.3,0.95,1,0.9,0.1,0,300,0.22582397850878477,0.4285714285714286,0.3374595588235294,0.37515664142487104,0.37515664142487104,0.09333333333333334,0.09999999999999998,0.19999999999999998,0.00666666666666664,0.10666666666666665,98.23899999999999,0.3274633333333333,0.46,0.013333333333333334,1.0013133333333333,0.25623999999999997,1.4773000000000003,1.25374,0.7787,1.3725,0.06283405220701195,0.09049623481161133,2.8,6.8,10.0,0.059,2.542372881355932,1.0,1882.0
zipfian,mle,50,0.3,0.95,1,0.9,0.25,0,300,0.22153425043860808,0.42121848739495804,0.3320110294117647,0.3669172609469623,0.3669172609469623,0.09666666666666666,0.09999999999999998,0.19999999999999998,0.003333333333333313,0.10333333333333332,96.75699999999999,0.32252333333333333,0.4533333333333333,0.013333333333333334,1.0075966666666667,0.25623999999999997,1.48106,1.2575,0.7787,1.3772,0.06283405220701195,0.09049623481161133,2.9,6.775,10.0,0.0595,2.5210084033613445,1.0,1881.0
zipfian,mle,50,0.3,0.95,3,0.9,0.1,0,300,0.16800557330986166,0.476010101010101,0.6247007575757575,0.07614920409135034,0.4815139225614248,0.15666666666666668,0.09999999999999998,0.19999999999999998,-0.0566666666666667,0.04333333333333331,176.221,0.5874033333333334,0.6133333333333333,0.006666666666666667,1.4394677777777778,0.25623999999999997,1.8894,1.6356799999999998,1.3064,1.718,0.06283405220701195,0.09049623481161133,14.1,18.975,10.0,0.15,3.0,2.0,1700.0
zipfian,mle,50,0.3,0.95,3,0.9,0.25,0,300,0.16800557330986166,0.476010101010101,0.6247007575757575,0.07582377430804627,0.48026950304328586,0.16,0.09999999999999998,0.19999999999999998,-0.060000000000000026,0.03999999999999998,176.221,0.5874033333333334,0.6133333333333333,0.006666666666666667,1.4408655555555554,0.25623999999999997,1.82532,1.59676,1.1808,1.70075,0.06283405220701195,0.09049623481161133,14.4,18.9,10.0,0.1495,3.0100334448160537,2.0,1701.0
zipfian,mle,50,0.3,0.95,5,0.9,0.1,0,300,0.309336882468217,0.5454545454545455,0.5236477272727272,-0.00263044627495157,0.43398667028056126,0.17733333333333332,0.09999999999999998,0.19999999999999998,-0.07733333333333334,0.02266666666666667,142.84300000000002,0.4761433333333334,0.6466666666666666,0.01,1.5571339999999998,0.25623999999999997,1.7411000000000003,1.5376600000000002,1.1747,1.6283999999999998,0.06283405220701195,0.09049623481161133,26.6,30.85,10.0,0.241,3.112033195020747,2.0,1518.0
zipfian,mle,50,0.3,0.95,5,0.9,0.25,0,300,0.20381548980385686,0.4915966386554622,0.6140393907563025,0.012781103351007184,0.4463570929018359,0.178,0.09999999999999998,0.19999999999999998,-0.07800000000000001,0.021999999999999992,172.933,0.5764433333333333,0.66,0.01,1.5673786666666667,0.25623999999999997,1.7210400000000001,1.4698399999999998,1.1682000000000001,1.54525,0.06283405220701195,0.09049623481161133,26.7,30.825,10.0,0.2415,3.1055900621118013,2.0,1517.0
zipfian,mle,50,0.3,0.99,1,0.9,0.1,0,300,-0.21034095973300432,-0.4852941176470588,-0.7836423319327731,-1.0655412885486328,-1.0655412885486328,0.66,0.09999999999999998,0.19999999999999998,-0.56,-0.4600000000000001,22.51,0.07503333333333334,0.06,0.05333333333333334,1.5334066666666664,0.25623999999999997,1.46976,1.23364,0.7473,1.3552250000000001,0.06283405220701195,0.09049623481161133,19.8,2.55,10.0,0.0565,2.6548672566371683,1.0,1887.0
zipfian,mle,50,0.3,0.99,1,0.9,0.25,0,300,0.22153425043860808,0.42121848739495804,0.3320110294117647,0.3871255661760587,0.3871255661760587,0.11333333333333333,0.09999999999999998,0.19999999999999998,-0.01333333333333335,0.08666666666666666,96.75699999999999,0.32252333333333333,0.4533333333333333,0.013333333333333334,1.0109466666666667,0.25623999999999997,1.4521800000000002,1.27386,0.8918000000000001,1.3693750000000002,0.06283405220701195,0.09049623481161133,3.4,6.65,10.0,0.0595,2.5210084033613445,1.0,1881.0
zipfian,mle,50,0.3,0.99,3,0.9,0.1,0,300,0.17068076259869436,0.49046648279170163,0.6302525482671782,0.03299423024447695,0.3688761888116029,0.15444444444444444,0.09999999999999998,0.19999999999999998,-0.05444444444444446,0.045555555555555544,183.996,0.61332,0.6333333333333333,0.006666666666666667,1.4526577777777776,0.25623999999999997,1.7286,1.4823999999999997,1.2059,1.551525,0.06283405220701195,0.09049623481161133,13.9,19.025,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.3,0.99,3,0.9,0.25,0,300,0.11832974832496618,0.42595035375944357,0.5338009353639525,0.03320137438113596,0.3688761888116029,0.15222222222222223,0.09999999999999998,0.19999999999999998,-0.05222222222222225,0.04777777777777775,186.98600000000002,0.6232866666666668,0.64,0.013333333333333334,1.4526588888888887,0.25623999999999997,1.7461799999999998,1.5100599999999997,1.1369,1.60335,0.06283405220701195,0.09049623481161133,13.7,19.075,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.3,0.99,5,0.9,0.1,0,300,0.3079086372981579,0.5454545454545455,0.5236477272727272,0.004995622169477132,0.4430337206802102,0.176,0.09999999999999998,0.19999999999999998,-0.07600000000000001,0.023999999999999994,142.84300000000002,0.4761433333333334,0.6466666666666666,0.01,1.5560866666666668,0.25623999999999997,1.7951400000000002,1.5917000000000001,1.4385,1.6300000000000001,0.06283405220701195,0.09049623481161133,26.4,30.9,10.0,0.241,3.112033195020747,2.0,1518.0
zipfian,mle,50,0.3,0.99,5,0.9,0.25,0,300,0.31090159070230117,0.4436363636363636,0.4398254545454545,0.019174445669424,0.44192660803387895,0.1706666666666667,0.09999999999999998,0.19999999999999998,-0.07066666666666671,0.029333333333333295,150.79600000000005,0.5026533333333335,0.6866666666666666,0.013333333333333334,1.5454486666666667,0.25623999999999997,1.7888399999999998,1.5451599999999999,1.4697,1.5640249999999998,0.06283405220701195,0.09049623481161133,25.6,31.1,10.0,0.239,3.1380753138075312,2.0,1522.0
zipfian,mle,50,0.7,0.95,1,0.9,0.1,0,300,0.17466063076901817,0.34243697478991597,0.25382037815126046,0.25163779065862807,0.25163779065862807,0.09333333333333334,0.09999999999999998,0.19999999999999998,0.00666666666666664,0.10666666666666665,96.75699999999999,0.32252333333333333,0.4533333333333333,0.01,1.0013133333333333,0.17204,1.4773000000000003,1.3127799999999998,1.0425,1.38035,0.04197064639802613,0.07843577521514918,2.8,6.8,10.0,0.059,2.542372881355932,1.0,1882.0
zipfian,mle,50,0.7,0.95,1,0.9,0.25,0,300,0.17184149093413556,0.3350840336134454,0.24837184873949583,0.24462790782038085,0.24462790782038085,0.09666666666666666,0.09999999999999998,0.19999999999999998,0.003333333333333313,0.10333333333333332,95.27499999999999,0.31758333333333333,0.44666666666666666,0.01,1.0075966666666667,0.17204,1.48106,1.31654,1.0425,1.3850500000000001,0.04197064639802613,0.07843577521514918,2.9,6.775,10.0,0.0595,2.5210084033613445,1.0,1881.0
zipfian,mle,50,0.7,0.95,3,0.9,0.1,0,300,0.17706377027183468,-0.0757575757575758,-0.02267424242424243,0.014758157025503427,0.1716141571421057,0.15777777777777777,0.09999999999999998,0.19999999999999998,-0.05777777777777779,0.04222222222222222,132.964,0.44321333333333335,0.6833333333333333,0.0033333333333333335,1.3719533333333331,0.17204,1.8064799999999999,1.6444800000000002,1.6141999999999999,1.6520499999999998,0.04197064639802613,0.07843577521514918,14.2,18.95,10.0,0.15,3.0,2.0,1700.0
zipfian,mle,50,0.7,0.95,3,0.9,0.25,0,300,0.17369167910819447,0.06932773109243706,0.10902731092436979,0.0596741238612396,0.22488268382531118,0.1522222222222222,0.09999999999999998,0.19999999999999998,-0.052222222222222225,0.04777777777777778,128.934,0.42978,0.67,0.0033333333333333335,1.3928800000000001,0.17204,1.8052000000000001,1.6432,1.4068999999999998,1.7022750000000002,0.04197064639802613,0.07843577521514918,13.7,19.075,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.7,0.95,5,0.9,0.1,0,300,0.17282006716889775,0.32449494949494945,0.3283169191919192,-0.0035748180153878373,0.22480950487539586,0.17733333333333332,0.09999999999999998,0.19999999999999998,-0.07733333333333334,0.02266666666666667,143.40900000000005,0.4780300000000002,0.6466666666666666,0.01,1.558558,0.17204,1.66322,1.4961800000000003,1.2687000000000002,1.55305,0.04197064639802613,0.07843577521514918,26.6,30.85,10.0,0.241,3.112033195020747,2.0,1518.0
zipfian,mle,50,0.7,0.95,5,0.9,0.25,0,300,0.17643283408378477,0.34531470726730495,0.397504630356302,0.03141596268370339,0.3105045105434595,0.17800000000000002,0.09999999999999998,0.19999999999999998,-0.07800000000000004,0.021999999999999964,146.47400000000005,0.48824666666666683,0.6666666666666666,0.01,1.5467486666666668,0.17204,1.824,1.65696,1.7212,1.6408999999999998,0.04197064639802613,0.07843577521514918,26.7,30.825,10.0,0.2415,3.1055900621118013,2.0,1517.0
zipfian,mle,50,0.7,0.99,1,0.9,0.1,0,300,0.17466063076901817,0.34243697478991597,0.25382037815126046,0.2496590432732279,0.2496590432732279,0.13,0.09999999999999998,0.19999999999999998,-0.030000000000000027,0.06999999999999998,96.75699999999999,0.32252333333333333,0.4533333333333333,0.01,1.0241433333333334,0.17204,1.49236,1.32784,1.0425,1.399175,0.04197064639802613,0.07843577521514918,3.9,6.525,10.0,0.0575,2.608695652173913,1.0,1885.0
zipfian,mle,50,0.7,0.99,1,0.9,0.25,0,300,0.17184149093413556,0.3350840336134454,0.24837184873949583,0.2549235767413289,0.2549235767413289,0.11,0.09999999999999998,0.19999999999999998,-0.010000000000000023,0.08999999999999998,95.27499999999999,0.31758333333333333,0.44666666666666666,0.01,1.0247633333333332,0.17204,1.4635000000000002,1.3140599999999998,0.9609,1.4023499999999998,0.04197064639802613,0.07843577521514918,3.3,6.675,10.0,0.059,2.542372881355932,1.0,1882.0
zipfian,mle,50,0.7,0.99,3,0.9,0.1,0,300,0.2023355180733899,0.06739417196306507,0.08886521165607392,0.004710245454877915,0.19908784704769256,0.15555555555555556,0.09999999999999998,0.19999999999999998,-0.05555555555555558,0.044444444444444425,129.737,0.43245666666666666,0.6733333333333333,0.0033333333333333335,1.3848622222222222,0.17204,1.7499599999999997,1.5879599999999998,1.6018000000000001,1.5844999999999998,0.04197064639802613,0.07843577521514918,14.0,19.0,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.7,0.99,3,0.9,0.25,0,300,0.2023355180733899,0.06739417196306507,0.08886521165607392,0.004336840467578873,0.19908784704769256,0.15333333333333332,0.09999999999999998,0.19999999999999998,-0.053333333333333344,0.04666666666666666,129.737,0.43245666666666666,0.6733333333333333,0.0033333333333333335,1.3882866666666667,0.17204,1.71096,1.5489600000000001,1.4383,1.576625,0.04197064639802613,0.07843577521514918,13.8,19.05,10.0,0.1505,2.990033222591362,2.0,1699.0
zipfian,mle,50,0.7,0.99,5,0.9,0.1,0,300,0.17193552193743397,0.29671717171717166,0.30598358585858587,0.0022645014825593557,0.22150850355368623,0.18,0.09999999999999998,0.19999999999999998,-0.08000000000000002,0.01999999999999999,144.21300000000005,0.4807100000000002,0.65,0.01,1.5575099999999997,0.17204,1.8366399999999998,1.6696,1.6331000000000002,1.678725,0.04197064639802613,0.07843577521514918,27.0,30.75,10.0,0.241,3.112033195020747,2.0,1518.0
zipfian,mle,50,0.7,0.99,5,0.9,0.25,0,300,0.18076120568850423,0.42181818181818176,0.4456036363636364,0.013821763754668148,0.2896546029207132,0.17266666666666666,0.09999999999999998,0.19999999999999998,-0.07266666666666668,0.02733333333333332,146.34900000000005,0.48783000000000015,0.6666666666666666,0.01,1.5471626666666665,0.17204,1.7562000000000004,1.5891599999999997,1.6644,1.57035,0.04197064639802613,0.07843577521514918,25.9,31.025,10.0,0.239,3.1380753138075312,2.0,1522.0
